Loading Y_scaler from file Y_scaler.gz
target_element: torch.Size([10000, 3, 101])
target_element_all: torch.Size([9, 101])
Step 2210, Loss: 33.25080108642578
Step 2220, Loss: 33.237022399902344
Step 2230, Loss: 33.223052978515625
Step 2240, Loss: 33.21142578125
Step 2250, Loss: 33.199493408203125
Step 2260, Loss: 33.184288024902344
Step 2270, Loss: 33.17048263549805
Step 2280, Loss: 33.15912628173828
Step 2290, Loss: 33.14424514770508
Step 2300, Loss: 33.128501892089844
Step 2310, Loss: 33.11427688598633
Step 2320, Loss: 33.1021728515625
Step 2330, Loss: 33.09120178222656
Step 2340, Loss: 33.077796936035156
Step 2350, Loss: 33.06488800048828
Step 2360, Loss: 33.05302429199219
Step 2370, Loss: 33.04133224487305
Step 2380, Loss: 33.0296745300293
Step 2390, Loss: 33.01923370361328
Step 2400, Loss: 33.00654220581055
Step 2410, Loss: 32.998043060302734
Step 2420, Loss: 32.98829650878906
Step 2430, Loss: 32.97565460205078
Step 2440, Loss: 32.964561462402344
Step 2450, Loss: 32.953670501708984
Step 2460, Loss: 32.94161605834961
Step 2470, Loss: 32.931976318359375
Step 2480, Loss: 32.92096710205078
Step 2490, Loss: 32.910240173339844
Step 2500, Loss: 32.90113830566406
Step 2510, Loss: 32.893489837646484
Step 2520, Loss: 32.88447952270508
Step 2530, Loss: 32.87325668334961
Step 2540, Loss: 32.86186599731445
Step 2550, Loss: 32.85182189941406
Step 2560, Loss: 32.84174346923828
Step 2570, Loss: 32.83149337768555
Step 2580, Loss: 32.82051467895508
Step 2590, Loss: 32.81126403808594
Step 2600, Loss: 32.80152893066406
Step 2610, Loss: 32.79129409790039
Step 2620, Loss: 32.778892517089844
Step 2630, Loss: 32.76903533935547
Step 2640, Loss: 32.75752639770508
Step 2650, Loss: 32.74568557739258
Step 2660, Loss: 32.734859466552734
Step 2670, Loss: 32.72428894042969
Step 2680, Loss: 32.711158752441406
Step 2690, Loss: 32.69843292236328
Step 2700, Loss: 32.68917465209961
Step 2710, Loss: 32.68010330200195
Step 2720, Loss: 32.66871643066406
Step 2730, Loss: 32.65703582763672
Step 2740, Loss: 32.64717102050781
Step 2750, Loss: 32.637657165527344
Step 2760, Loss: 32.6282958984375
Step 2770, Loss: 32.61768341064453
Step 2780, Loss: 32.609249114990234
Step 2790, Loss: 32.598243713378906
Step 2800, Loss: 32.58812713623047
Step 2810, Loss: 32.577392578125
Step 2820, Loss: 32.56538009643555
Step 2830, Loss: 32.55497360229492
Step 2840, Loss: 32.54294967651367
Step 2850, Loss: 32.53401184082031
Step 2860, Loss: 32.523399353027344
Step 2870, Loss: 32.51253128051758
Step 2880, Loss: 32.502227783203125
Step 2890, Loss: 32.49089431762695
Step 2900, Loss: 32.48119354248047
Step 2910, Loss: 32.469337463378906
Step 2920, Loss: 32.46086120605469
Step 2930, Loss: 32.45207977294922
Step 2940, Loss: 32.44288635253906
Step 2950, Loss: 32.4324951171875
Step 2960, Loss: 32.42266082763672
Step 2970, Loss: 32.41135787963867
Step 2980, Loss: 32.401031494140625
Step 2990, Loss: 32.392005920410156
Step 3000, Loss: 32.383567810058594
Step 3010, Loss: 32.373260498046875
Step 3020, Loss: 32.362632751464844
Step 3030, Loss: 32.35243225097656
Step 3040, Loss: 32.34165954589844
Step 3050, Loss: 32.33295822143555
Step 3060, Loss: 32.3226203918457
Step 3070, Loss: 32.312843322753906
Step 3080, Loss: 32.30471420288086
Step 3090, Loss: 32.293643951416016
